,closes,actual,predicted
93,3244.93,0,0
94,3253.47,0,0
95,3252.86,1,0
96,3271.98,0,0
97,3269.07,0,0
98,3266.12,0,0
99,3246.0,0,0
100,3247.56,0,0
101,3248.05,0,0
102,3254.37,0,0
103,3253.38,0,0
104,3255.99,0,0
105,3242.01,0,0
106,3240.83,0,0
107,3244.1,0,0
108,3241.2,0,0
109,3240.86,0,0
110,3233.51,0,0
111,3237.8,0,0
112,3249.53,0,0
113,3244.65,0,0
114,3242.67,0,0
115,3255.0,0,0
116,3258.55,0,0
117,3256.35,0,0
118,3250.01,0,0
119,3255.2,0,0
120,3166.72,0,0
121,3166.57,0,0
122,3139.48,0,1
123,3146.54,0,1
124,3134.57,0,1
125,3125.68,0,1
126,3101.31,0,1
127,3106.4,0,1
128,3105.11,0,1
129,3099.71,0,1
130,3103.31,0,1
131,3116.05,1,1
132,3134.9,0,1
133,3140.35,0,1
134,3128.56,0,1
135,3123.69,1,1
136,3142.8,1,1
137,3170.0,1,1
138,3221.74,1,1
139,3238.98,0,1
140,3220.92,0,1
141,3218.97,0,1
142,3215.99,0,1
143,3224.99,0,1
144,3226.29,1,1
145,3245.26,0,1
146,3248.41,0,1
147,3246.59,0,1
148,3210.33,0,1
149,3209.91,0,1
150,3207.54,0,1
151,3208.77,0,0
152,3194.68,0,0
153,3203.43,0,0
154,3206.21,0,0
155,3212.84,0,0
156,3202.92,0,0
157,3192.99,0,0
158,3202.59,0,0
159,3209.1,0,0
160,3214.22,0,0
161,3226.28,0,0
162,3221.4,0,0
163,3224.91,0,0
164,3236.73,0,0
165,3229.55,0,0
166,3229.32,0,0
167,3233.9,0,0
168,3224.91,0,0
169,3232.1,0,0
170,3226.15,0,0
171,3207.17,0,0
172,3205.17,0,0
173,3210.84,0,0
174,3212.58,0,0
175,3205.22,0,0
176,3197.3,0,0
177,3191.22,0,0
178,3193.99,0,0
179,3177.3,0,0
180,3172.01,0,0
181,3172.52,0,0
182,3177.43,0,0
183,3179.0,0,0
184,3179.64,0,0
185,3186.13,0,0
186,3166.76,0,0
187,3157.55,0,0
188,3140.39,0,0
189,3131.96,0,0
190,3141.07,0,0
191,3136.03,0,0
192,3137.3,0,0
193,3142.95,0,0
194,3138.31,0,0
195,3132.69,0,0
196,3121.46,0,0
197,3121.07,0,0
198,3115.38,0,0
199,3130.37,0,0
200,3134.72,0,0
201,3123.03,0,0
202,3120.91,0,0
203,3123.76,0,0
204,3107.75,0,0
205,3100.07,0,0
206,3094.29,0,0
207,3097.09,0,0
208,3101.0,0,0
209,3111.59,0,0
210,3110.95,0,0
211,3106.16,0,0
212,3106.49,0,0
213,3104.44,0,0
214,3117.31,0,0
215,3124.93,0,0
216,3126.08,0,0
217,3121.58,0,0
218,3122.93,0,0
219,3115.02,0,0
220,3111.1,0,0
221,3114.71,0,0
222,3109.75,0,0
223,3118.4,0,0
224,3115.74,0,0
225,3102.95,1,0
226,3119.05,0,0
227,3126.69,0,0
228,3122.07,0,0
229,3111.5,0,0
230,3122.52,0,0
231,3113.32,0,0
232,3109.75,0,0
233,3115.82,0,0
234,3115.95,0,0
235,3105.03,0,0
236,3097.74,0,0
237,3099.9,0,0
238,3097.84,0,0
239,3077.49,0,0
240,3068.18,1,0
241,3085.63,0,0
242,3071.93,0,0
243,3069.4,0,0
244,3070.92,0,0
245,3072.49,0,0
246,3045.35,1,0
247,3064.49,0,0
248,3059.48,0,0
249,3036.76,0,0
250,3017.14,0,1
251,3014.69,0,1
252,3014.68,0,1
253,3017.12,0,1
254,3011.37,1,1
255,3031.63,0,1
256,3034.21,0,1
257,3038.7,1,0
258,3091.77,0,0
259,3062.64,1,0
260,3081.36,0,0
261,3081.03,0,0
262,3070.01,0,0
263,3075.87,0,0
264,3074.74,0,0
265,3080.49,0,0
266,3059.17,0,0
267,3058.15,0,0
268,3064.86,0,0
269,3064.92,0,0
270,3050.47,0,0
271,3047.96,0,0
272,3041.61,0,0
273,3045.12,0,0
274,3047.38,0,0
275,3053.95,0,0
276,3060.41,0,0
277,3058.76,0,0
278,3054.92,0,0
279,3046.28,0,0
280,3052.01,0,0
281,3058.48,0,0
282,3061.08,0,0
