,closes,actual,predicted
464,4094.46,0,0
465,4084.05,0,0
466,4082.99,0,0
467,4077.78,0,0
468,4087.44,0,0
469,4076.78,0,0
470,4076.27,1,0
471,4091.31,0,0
472,4084.32,0,0
473,4084.74,0,0
474,4076.33,0,0
475,4059.69,0,0
476,4073.66,0,0
477,4066.16,0,0
478,4053.01,0,0
479,4063.12,0,0
480,4059.4,0,0
481,4046.02,0,0
482,4045.81,0,0
483,4037.23,0,0
484,4029.36,0,0
485,4022.58,0,0
486,4017.34,0,0
487,4028.83,0,0
488,4013.16,0,0
489,4015.59,0,0
490,3980.98,0,0
491,3982.34,0,0
492,3980.95,0,0
493,3981.37,0,0
494,3973.78,0,0
495,3968.35,0,0
496,3934.97,1,1
497,3950.19,0,1
498,3946.94,0,1
499,3960.7,0,0
500,3933.24,0,0
501,3900.01,0,1
502,3913.42,0,1
503,3911.78,0,1
504,3918.6,0,1
505,3902.98,0,1
506,3917.87,0,1
507,3921.25,0,0
508,3918.92,0,0
509,3931.88,0,0
510,3928.5,0,0
511,3922.25,0,0
512,3917.7,0,0
513,3910.41,0,0
514,3907.65,0,0
515,3917.0,0,0
516,3929.0,0,0
517,3926.44,0,0
518,3923.49,0,0
519,3917.28,0,0
520,3912.9,0,0
521,3911.65,0,0
522,3898.81,0,0
523,3886.28,0,0
524,3894.05,0,0
525,3905.65,0,0
526,3901.68,0,0
527,3902.43,0,0
528,3900.88,0,0
529,3911.57,0,0
530,3917.76,0,0
531,3920.9,0,0
532,3912.02,0,0
533,3919.38,0,0
534,3917.26,0,0
535,3907.35,0,0
536,3907.42,0,0
537,3915.25,0,0
538,3923.71,0,0
539,3908.8,0,0
540,3899.66,0,0
541,3912.65,0,0
542,3897.88,0,0
543,3911.55,0,0
544,3907.89,0,0
545,3913.23,0,0
546,3900.35,0,0
547,3897.9,0,0
548,3873.93,0,0
549,3840.67,0,0
550,3853.34,0,0
551,3864.35,0,0
552,3834.95,0,0
553,3804.34,0,0
554,3802.36,1,0
555,3827.47,0,0
556,3797.12,0,0
557,3803.12,0,0
558,3809.01,0,0
559,3800.02,0,0
560,3771.75,0,1
561,3784.1,1,1
562,3801.14,0,0
563,3807.96,0,0
564,3816.57,0,0
565,3817.73,1,0
566,3839.0,0,0
567,3827.19,0,0
568,3827.08,0,0
569,3825.85,0,0
570,3813.17,0,0
571,3807.03,0,0
572,3797.67,0,0
573,3799.0,0,0
574,3804.69,0,0
575,3810.62,0,0
576,3808.86,0,0
577,3813.18,0,0
578,3809.01,0,0
579,3792.75,1,0
580,3818.5,0,0
581,3809.18,0,0
582,3800.29,1,0
583,3818.07,0,0
584,3826.0,0,0
585,3810.0,0,0
586,3805.65,0,0
587,3801.37,0,0
588,3813.03,0,0
589,3812.11,0,0
590,3813.14,0,0
591,3818.14,0,0
592,3822.23,0,0
593,3814.22,0,0
594,3813.46,0,0
595,3816.15,0,0
596,3811.93,0,0
597,3806.41,0,0
598,3810.49,0,0
599,3802.95,0,0
600,3808.47,0,0
601,3794.19,0,0
602,3791.89,0,0
603,3802.62,0,0
604,3800.52,0,0
605,3804.34,0,0
606,3800.0,0,0
607,3802.59,0,0
608,3790.82,0,0
609,3791.74,0,0
610,3796.67,0,0
611,3796.39,0,0
612,3801.82,0,0
613,3791.64,0,0
614,3802.75,0,0
615,3796.61,0,0
616,3794.78,0,0
617,3772.77,1,0
618,3789.08,1,0
619,3814.54,0,0
620,3816.33,0,0
621,3809.99,0,0
622,3797.87,0,0
623,3793.44,0,0
624,3792.98,0,0
625,3780.18,0,0
626,3784.01,0,0
627,3790.96,0,0
628,3751.12,0,0
629,3736.59,0,0
630,3733.13,0,0
631,3727.86,0,0
632,3731.79,0,0
633,3704.74,1,0
634,3719.79,1,0
635,3756.64,0,0
636,3755.52,0,0
637,3751.32,1,0
638,3775.19,0,0
639,3782.14,0,0
640,3778.32,0,0
641,3782.85,0,0
642,3788.71,0,0
643,3795.05,0,0
644,3785.0,0,0
645,3783.45,0,0
646,3773.95,0,0
647,3784.34,0,0
648,3776.88,0,0
649,3771.34,0,0
650,3766.9,0,0
651,3754.46,0,0
652,3757.73,0,0
653,3769.36,0,0
654,3758.49,0,0
655,3753.65,0,0
656,3739.55,0,0
657,3740.01,0,0
658,3724.77,0,0
659,3725.68,0,0
660,3729.45,0,0
661,3743.83,0,0
662,3751.87,0,0
663,3746.22,0,0
664,3712.38,0,0
665,3723.14,0,0
666,3720.33,0,0
667,3726.76,0,0
668,3715.17,1,0
669,3735.09,0,0
670,3741.3,0,0
671,3722.62,0,0
672,3706.45,0,0
673,3640.14,0,0
674,3621.16,0,0
675,3630.19,0,0
676,3621.4,1,1
677,3640.0,1,1
678,3659.15,0,0
679,3658.93,0,0
680,3660.63,0,0
681,3655.2,0,0
682,3663.34,0,0
683,3650.58,0,0
684,3629.54,0,0
685,3638.65,0,0
686,3648.7,0,0
687,3650.42,0,0
688,3648.73,0,0
689,3644.32,1,0
690,3659.81,0,0
691,3649.41,1,0
692,3674.01,0,0
693,3669.7,0,0
694,3668.07,0,0
695,3663.48,0,0
696,3663.42,0,0
697,3656.76,0,0
698,3663.56,0,0
699,3674.32,0,0
700,3673.71,0,0
701,3671.04,1,0
702,3692.59,0,0
