time,open,high,low,close,Volume,Volume MA,RSI
1625216400,2060.49,2061.45,2044.17,2051.45,6571.94596,6949.0749775,60.49633389734903
1625217300,2051.46,2051.49,2033.54,2036.61,12034.31097,7243.4632845,55.56361375880646
1625218200,2036.61,2050.95,2031.17,2036.0,6826.32494,7235.261052999999,54.12844036697244
1625219100,2036.0,2044.88,2036.0,2040.13,2766.23978,7205.794161499999,55.62582882790992
1625220000,2040.15,2040.15,2021.97,2024.76,15381.93417,7748.324131999999,45.72692910482163
1625220900,2024.54,2036.09,2018.52,2035.41,8374.33327,7812.928586999999,47.773243435060344
1625221800,2035.41,2042.1,2024.01,2031.71,5649.75005,7864.9384295,42.02186805040784
1625222700,2031.72,2043.27,2029.82,2039.71,7313.63122,7720.506673999999,45.022405763992666
1625223600,2039.58,2055.37,2034.38,2054.62,6598.58368,7756.0864165,47.095628646317806
1625224500,2054.8,2055.87,2043.14,2043.64,5293.78475,7602.3288225,36.52916810493612
1625225400,2043.65,2045.69,2025.12,2043.62,8514.84013,7774.4386885,39.48694029850746
1625226300,2043.62,2050.99,2028.56,2038.99,7914.57622,7995.312932999999,41.69211070619515
1625227200,2038.99,2044.39,2031.39,2036.21,5725.81419,8043.877000999999,37.81478880305009
1625228100,2036.18,2043.35,2031.25,2033.67,5126.41639,8002.960771499999,40.457277801631726
1625229000,2033.89,2053.45,2031.47,2050.0,9260.56077,8162.748758,57.07342842049663
1625229900,2050.0,2063.44,2048.04,2058.31,7177.62648,7794.675633000001,60.89887640449436
1625230800,2058.31,2071.0,2047.19,2068.88,11053.60233,7666.534185500001,63.213530655391125
1625231700,2068.89,2078.26,2055.1,2058.36,10584.70685,7690.707051,66.16317106022714
1625232600,2058.17,2064.54,2050.95,2058.79,5136.19893,7559.111228500001,62.47332479726845
1625233500,2058.9,2074.0,2058.9,2072.4,9332.24567,7831.871337500001,69.63234584579764
1625234400,2072.38,2076.63,2063.36,2065.99,7035.57624,7855.0528515,62.87730301842402
1625235300,2065.99,2096.15,2059.28,2092.99,14820.90099,7994.3823525,66.80977832296497
1625236200,2093.0,2121.42,2092.99,2108.32,22392.61781,8772.696996,77.29574611748805
1625237100,2108.33,2117.93,2096.94,2117.35,7702.89417,9019.5297155,78.9159934112479
1625238000,2117.35,2129.0,2107.16,2110.07,13801.93256,8940.529635,77.30905179037963
1625238900,2109.85,2111.29,2099.14,2103.94,8885.19564,8966.0727535,75.36894149374481
1625239800,2103.78,2114.79,2102.08,2112.65,6482.73366,9007.721934,78.27581268795642
1625240700,2112.43,2124.99,2108.0,2124.15,6253.29286,8954.705015999998,77.49758955722015
1625241600,2124.14,2125.0,2103.0,2113.01,7486.60117,8999.105890499999,69.86779020775829
1625242500,2113.01,2119.72,2106.58,2115.06,5097.67593,8989.300449499999,67.8798203500077
1625243400,2115.11,2116.25,2099.13,2103.88,5549.40723,8841.0288045,67.53466872110944
1625244300,2103.9,2115.5,2101.04,2112.36,6702.53131,8780.426559,69.43054044251006
1625245200,2112.64,2121.1,2110.53,2114.85,7168.71819,8852.571758999999,66.74820484494593
1625246100,2114.83,2116.81,2107.59,2110.72,3722.74098,8782.387988499999,67.97107271996795
1625247000,2110.73,2120.87,2106.71,2112.75,4149.85575,8526.852737499998,59.931644551668825
1625247900,2112.75,2114.45,2102.66,2109.55,3353.32054,8335.637440499997,50.70406410990272
1625248800,2109.55,2111.37,2086.51,2092.26,9880.90962,8277.002804999996,36.87898755360323
1625249700,2092.24,2096.85,2083.45,2095.77,4587.92278,7977.163601499997,42.21472125435524
1625250600,2095.78,2100.0,2092.86,2099.49,2654.14003,7853.060656499996,47.51202057475102
1625251500,2099.56,2102.03,2092.27,2093.04,2568.10058,7514.853401999996,38.75186417345393
1625252400,2093.04,2100.0,2088.24,2089.56,3339.87056,7330.068117999997,28.149084017687493
1625253300,2089.56,2094.86,2086.23,2089.43,4597.31954,6818.889045499997,32.69738773114123
1625254200,2089.43,2098.59,2088.32,2093.02,4672.19401,5932.867855499998,34.184845005740414
1625255100,2093.01,2104.85,2089.21,2103.73,3653.59783,5730.403038499998,49.891634156913675
1625256000,2103.47,2104.49,2090.12,2093.4,4440.14626,5262.313723499998,36.65916127216425
1625256900,2093.4,2096.46,2082.09,2093.3,5136.91824,5074.899853499997,34.309014125527995
1625257800,2093.22,2096.93,2089.8,2094.5,2591.64555,4880.345447999997,37.66352296927292
1625258700,2094.53,2096.2,2086.39,2090.68,4000.46769,4767.7041894999975,33.65911446764372
1625259600,2090.42,2096.93,2088.12,2095.03,1740.82254,4480.415257999997,39.42923704135118
1625260500,2094.92,2104.0,2093.1,2098.0,2641.98759,4357.630840999997,55.27961736570991
1625261400,2098.28,2115.94,2095.38,2110.18,4274.83452,4293.902205499998,61.43106457242576
1625262300,2110.41,2113.42,2105.03,2107.46,3133.19018,4115.435148999998,56.42431081734668
1625263200,2108.21,2111.42,2103.5,2111.16,2582.69217,3886.1338479999977,65.28340080971657
1625264100,2111.22,2115.68,2107.0,2111.79,3061.79153,3853.0863754999978,69.69696969696977
1625265000,2111.78,2121.87,2111.49,2117.31,4938.4105,3892.5141129999975,72.54933678421243
1625265900,2117.31,2160.0,2116.4,2157.59,21006.22043,4775.159107499998,82.77332250532957
1625266800,2157.6,2159.0,2144.33,2155.42,11713.23901,4866.775576999998,78.72624208069365
1625267700,2155.42,2157.52,2143.56,2147.17,5287.82944,4901.7709099999975,80.58937307998639
1625268600,2147.5,2149.22,2139.66,2145.36,3232.68978,4930.698397499999,79.05133928571428
1625269500,2145.44,2156.56,2140.19,2154.13,8430.90453,5223.838594999998,80.68333847895445
1625270400,2153.95,2166.0,2141.41,2142.93,13533.76572,5733.533352999998,74.988043998087
1625271300,2143.11,2149.24,2139.34,2146.47,3793.28595,5693.331673499999,74.79275110854044
1625272200,2146.5,2151.78,2132.19,2139.4,5689.04968,5744.174456999998,69.19510385756686
1625273100,2139.4,2143.93,2132.46,2138.28,2767.75457,5699.882293999998,64.51746228559642
1625274000,2138.12,2146.0,2133.64,2140.05,2610.61648,5608.405804999999,67.0040697067725
1625274900,2140.01,2147.44,2136.95,2143.95,3532.11083,5528.165434499999,67.07278975320214
1625275800,2143.96,2155.73,2139.14,2148.99,4163.72004,5606.769158999999,68.5185185185185
1625276700,2149.0,2154.97,2148.87,2150.65,3710.57601,5592.274574999999,67.26030234002907
1625277600,2150.89,2152.33,2137.08,2140.3,3877.82892,5699.124893999999,37.02925731432854
1625278500,2140.29,2154.26,2138.37,2151.12,3241.20319,5729.085673999999,47.14475431606891
1625279400,2151.13,2151.98,2145.58,2148.04,1971.06228,5613.897061999998,50.62027662911729
1625280300,2148.21,2148.85,2137.12,2143.08,2278.87291,5571.181198499999,48.44432314410465
1625281200,2143.11,2143.16,2122.36,2127.71,6874.63385,5785.778282499999,33.46269404106138
1625282100,2127.7,2132.63,2126.01,2128.98,2341.76902,5749.777156999999,40.028591851322346
1625283000,2128.87,2135.0,2121.68,2123.07,3631.29483,5684.421373499999,33.821902654867245
1625283900,2123.07,2131.88,2112.01,2131.16,7094.08785,4988.814744499999,44.38232887919254
1625284800,2131.16,2142.0,2124.4,2139.98,5962.42617,4701.274102499999,51.04886475814403
1625285700,2139.99,2140.63,2127.41,2129.73,3112.90555,4592.527907999998,44.23592493297572
1625286600,2129.98,2136.68,2125.76,2135.53,1752.37426,4518.512131999998,45.39488077007239
1625287500,2135.53,2139.87,2132.68,2139.5,1466.38746,4170.286278499998,44.74820143884901
