,closes,actual,predicted
171,2919.61,0,0
172,2916.98,0,0
173,2908.52,0,0
174,2916.44,0,0
175,2915.49,0,0
176,2912.78,0,0
177,2905.86,0,0
178,2900.47,0,0
179,2888.02,0,0
180,2899.01,0,0
181,2907.68,0,0
182,2907.4,0,0
183,2917.33,0,0
184,2908.89,0,0
185,2918.6,0,0
186,2918.03,0,0
187,2912.17,0,0
188,2916.44,0,0
189,2911.35,0,0
190,2903.51,0,0
191,2898.41,0,0
192,2909.0,0,0
193,2919.52,0,0
194,2918.93,0,0
195,2929.0,0,0
196,2935.02,0,0
197,2939.37,0,0
198,2934.03,0,0
199,2933.66,0,0
200,2930.8,0,0
201,2934.51,0,0
202,2932.28,0,0
203,2935.49,0,0
204,2938.17,0,0
205,2938.65,0,0
206,2934.61,0,0
207,2937.31,0,0
208,2933.79,0,0
209,2932.34,0,0
210,2929.01,0,0
211,2933.14,0,0
212,2934.12,0,0
213,2932.93,0,0
214,2930.41,0,0
215,2930.95,0,0
216,2931.6,0,0
217,2936.97,0,0
218,2937.07,0,0
219,2935.26,0,0
220,2928.62,0,0
221,2927.03,0,0
222,2922.38,0,0
223,2928.96,0,0
224,2921.99,0,0
225,2911.77,0,0
226,2902.8,0,0
227,2904.41,0,0
228,2893.91,0,0
229,2900.96,0,0
230,2907.79,0,0
231,2907.03,0,0
232,2896.2,0,0
233,2896.67,0,0
234,2879.67,0,0
235,2891.76,1,0
236,2916.01,0,0
237,2919.99,0,0
238,2914.68,0,0
239,2923.91,0,0
240,2925.72,0,0
241,2929.98,0,0
242,2931.09,0,0
243,2931.16,0,0
244,2927.84,0,0
245,2924.45,0,0
246,2916.03,0,0
247,2918.59,0,0
248,2921.8,0,0
249,2912.12,0,0
250,2911.61,0,0
251,2914.68,0,0
252,2913.36,0,0
253,2908.57,0,0
254,2910.89,0,0
255,2907.67,0,0
256,2906.77,0,0
257,2914.05,0,0
258,2914.49,0,0
259,2913.68,0,0
260,2915.0,0,0
261,2910.63,0,0
262,2902.35,0,0
263,2902.94,0,0
264,2908.09,0,0
265,2904.29,0,0
266,2894.06,0,0
267,2906.23,0,0
268,2899.94,0,0
269,2902.61,0,0
270,2906.73,0,0
271,2895.72,0,0
272,2888.93,0,0
273,2888.92,0,0
274,2863.39,1,0
275,2878.42,0,0
276,2871.27,0,0
277,2880.19,1,0
278,2896.54,0,0
279,2886.29,0,0
280,2877.0,0,0
281,2876.71,0,0
282,2863.45,0,0
283,2877.02,0,0
284,2878.06,0,0
285,2875.17,0,0
286,2882.61,0,0
287,2886.54,0,0
288,2883.49,0,0
289,2883.84,0,0
290,2880.4,0,0
291,2870.59,1,0
292,2909.97,0,0
293,2907.0,0,0
294,2908.0,0,0
295,2905.91,0,0
296,2910.03,0,0
297,2909.16,1,0
298,2930.79,0,0
299,2929.97,0,0
300,2924.28,0,0
301,2934.63,0,0
